CNT,CONVAL,EXTRACT_DE
22,BMW 2시리즈 액티브 투어러,202301
16,BMW 2시리즈 액티브 투어러,202302
16,BMW 2시리즈 액티브 투어러,202303
67,BMW 2시리즈 액티브 투어러,202304
70,BMW 2시리즈 액티브 투어러,202305
69,BMW 2시리즈 액티브 투어러,202306
86,BMW 2시리즈 액티브 투어러,202307
143,BMW 2시리즈 액티브 투어러,202308
172,BMW 2시리즈 액티브 투어러,202309
157,BMW 2시리즈 액티브 투어러,202310
101,BMW 2시리즈 액티브 투어러,202311
128,BMW 2시리즈 액티브 투어러,202312
46,BMW 2시리즈 액티브 투어러,202401
81,BMW 2시리즈 액티브 투어러,202402
114,BMW 2시리즈 액티브 투어러,202403
131,BMW 2시리즈 액티브 투어러,202404
97,BMW 2시리즈 액티브 투어러,202405
53,BMW 2시리즈 액티브 투어러,202406
