model_name,year,month,region,car_cnt,brand_id
EV9,2023,06,강원도,16,1
EV9,2023,06,경기도,112,1
EV9,2023,06,경상남도,45,1
EV9,2023,06,경상북도,25,1
EV9,2023,06,광주시,13,1
EV9,2023,06,대구시,23,1
EV9,2023,06,대전시,25,1
EV9,2023,06,부산시,30,1
EV9,2023,06,서울시,184,1
EV9,2023,06,세종시,4,1
EV9,2023,06,울산시,7,1
EV9,2023,06,인천시,32,1
EV9,2023,06,전라남도,9,1
EV9,2023,06,전라북도,20,1
EV9,2023,06,제주도,83,1
EV9,2023,06,충청남도,11,1
EV9,2023,06,충청북도,26,1
EV9,2023,07,강원도,20,1
EV9,2023,07,경기도,352,1
EV9,2023,07,경상남도,387,1
EV9,2023,07,경상북도,59,1
EV9,2023,07,광주시,33,1
EV9,2023,07,대구시,41,1
EV9,2023,07,대전시,30,1
EV9,2023,07,부산시,90,1
EV9,2023,07,서울시,112,1
EV9,2023,07,세종시,6,1
EV9,2023,07,울산시,10,1
EV9,2023,07,인천시,208,1
EV9,2023,07,전라남도,32,1
EV9,2023,07,전라북도,48,1
EV9,2023,07,제주도,167,1
EV9,2023,07,충청남도,44,1
EV9,2023,07,충청북도,43,1
EV9,2023,08,강원도,7,1
EV9,2023,08,경기도,127,1
EV9,2023,08,경상남도,74,1
EV9,2023,08,경상북도,16,1
EV9,2023,08,광주시,15,1
EV9,2023,08,대구시,7,1
EV9,2023,08,대전시,6,1
EV9,2023,08,부산시,37,1
EV9,2023,08,서울시,91,1
EV9,2023,08,세종시,3,1
EV9,2023,08,울산시,6,1
EV9,2023,08,인천시,33,1
EV9,2023,08,전라남도,21,1
EV9,2023,08,전라북도,19,1
EV9,2023,08,제주도,52,1
EV9,2023,08,충청남도,13,1
EV9,2023,08,충청북도,24,1
EV9,2023,09,강원도,13,1
EV9,2023,09,경기도,254,1
EV9,2023,09,경상남도,41,1
EV9,2023,09,경상북도,28,1
EV9,2023,09,광주시,65,1
EV9,2023,09,대구시,41,1
EV9,2023,09,대전시,25,1
EV9,2023,09,부산시,43,1
EV9,2023,09,서울시,86,1
EV9,2023,09,세종시,12,1
EV9,2023,09,울산시,5,1
EV9,2023,09,인천시,59,1
EV9,2023,09,전라남도,22,1
EV9,2023,09,전라북도,34,1
EV9,2023,09,제주도,13,1
EV9,2023,09,충청남도,20,1
EV9,2023,09,충청북도,26,1
EV9,2023,10,강원도,18,1
EV9,2023,10,경기도,482,1
EV9,2023,10,경상남도,48,1
EV9,2023,10,경상북도,28,1
EV9,2023,10,광주시,198,1
EV9,2023,10,대구시,18,1
EV9,2023,10,대전시,15,1
EV9,2023,10,부산시,37,1
EV9,2023,10,서울시,143,1
EV9,2023,10,세종시,6,1
EV9,2023,10,울산시,6,1
EV9,2023,10,인천시,66,1
EV9,2023,10,전라남도,26,1
EV9,2023,10,전라북도,13,1
EV9,2023,10,제주도,17,1
EV9,2023,10,충청남도,59,1
EV9,2023,10,충청북도,35,1
EV9,2023,11,강원도,15,1
EV9,2023,11,경기도,113,1
EV9,2023,11,경상남도,24,1
EV9,2023,11,경상북도,16,1
EV9,2023,11,광주시,61,1
EV9,2023,11,대구시,11,1
EV9,2023,11,대전시,17,1
EV9,2023,11,부산시,21,1
EV9,2023,11,서울시,25,1
EV9,2023,11,세종시,1,1
EV9,2023,11,울산시,8,1
EV9,2023,11,인천시,20,1
EV9,2023,11,전라남도,25,1
EV9,2023,11,전라북도,9,1
EV9,2023,11,제주도,14,1
EV9,2023,11,충청남도,4,1
