CNT,CONVAL,EXTRACT_DE
151,BMW i4,202301
258,BMW i4,202302
243,BMW i4,202303
216,BMW i4,202304
224,BMW i4,202305
218,BMW i4,202306
153,BMW i4,202307
230,BMW i4,202308
317,BMW i4,202309
217,BMW i4,202310
59,BMW i4,202311
107,BMW i4,202312
58,BMW i4,202401
80,BMW i4,202402
104,BMW i4,202403
95,BMW i4,202404
93,BMW i4,202405
96,BMW i4,202406
