CNT,CONVAL,EXTRACT_DE
6,푸조 308,202301
7,푸조 308,202302
12,푸조 308,202303
9,푸조 308,202304
11,푸조 308,202305
10,푸조 308,202306
5,푸조 308,202307
17,푸조 308,202308
10,푸조 308,202309
11,푸조 308,202310
39,푸조 308,202311
49,푸조 308,202312
28,푸조 308,202401
22,푸조 308,202402
5,푸조 308,202403
1,푸조 308,202406
