CNT,CONVAL,EXTRACT_DE
12,마이브 마이브,202302
25,마이브 마이브,202303
10,마이브 마이브,202304
5,마이브 마이브,202305
6,마이브 마이브,202306
8,마이브 마이브,202307
13,마이브 마이브,202308
5,마이브 마이브,202309
9,마이브 마이브,202310
3,마이브 마이브,202311
5,마이브 마이브,202401
2,마이브 마이브,202403
2,마이브 마이브,202404
