CNT,CONVAL,EXTRACT_DE
3,닷지 램,202302
5,닷지 램,202303
1,닷지 램,202304
2,닷지 램,202305
4,닷지 램,202306
1,닷지 램,202307
2,닷지 램,202308
1,닷지 램,202309
1,닷지 램,202310
1,닷지 램,202311
2,닷지 램,202312
2,닷지 램,202401
3,닷지 램,202403
1,닷지 램,202404
1,닷지 램,202405
