CNT,CONVAL,EXTRACT_DE
2,아우디 RS6,202301
1,아우디 RS6,202304
1,아우디 RS6,202305
1,아우디 RS6,202306
2,아우디 RS6,202308
2,아우디 RS6,202311
2,아우디 RS6,202401
2,아우디 RS6,202403
