CNT,JUSO_SIDO
43,강원도
458,경기도
348,경상남도
199,경상북도
35,광주시
66,대구시
47,대전시
80,부산시
210,서울시
19,세종시
29,울산시
143,인천시
352,전라남도
398,전라북도
234,제주도
317,충청남도
180,충청북도
