CNT,JUSO_SIDO
56,강원도
345,경기도
135,경상남도
84,경상북도
43,광주시
47,대구시
38,대전시
115,부산시
117,서울시
8,세종시
26,울산시
83,인천시
160,전라남도
72,전라북도
75,제주도
76,충청남도
75,충청북도
