CNT,JUSO_SIDO
8,강원도
51,경기도
23,경상남도
16,경상북도
11,광주시
10,대구시
12,대전시
16,부산시
28,서울시
5,울산시
52,인천시
14,전라남도
21,전라북도
15,제주도
9,충청남도
27,충청북도
