CNT,JUSO_SIDO
163,강원도
1451,경기도
482,경상남도
299,경상북도
170,광주시
187,대구시
204,대전시
313,부산시
653,서울시
48,세종시
101,울산시
401,인천시
409,전라남도
214,전라북도
361,제주도
217,충청남도
190,충청북도
