CNT,JUSO_SIDO
124,강원도
710,경기도
204,경상남도
172,경상북도
52,광주시
121,대구시
64,대전시
188,부산시
303,서울시
19,세종시
315,울산시
231,인천시
162,전라남도
103,전라북도
144,제주도
170,충청남도
99,충청북도
