CNT,JUSO_SIDO
15,강원도
95,경기도
32,경상남도
15,경상북도
21,광주시
13,대구시
8,대전시
14,부산시
19,서울시
5,울산시
36,인천시
19,전라남도
12,전라북도
13,제주도
21,충청남도
17,충청북도
