CNT,JUSO_SIDO
11,강원도
34,경기도
11,경상남도
11,경상북도
3,광주시
4,대구시
1,대전시
4,부산시
9,서울시
31,인천시
8,전라남도
4,전라북도
2,제주도
15,충청남도
6,충청북도
