CNT,CONVAL,EXTRACT_DE
25,링컨 에비에이터,202301
36,링컨 에비에이터,202302
51,링컨 에비에이터,202303
47,링컨 에비에이터,202304
21,링컨 에비에이터,202305
82,링컨 에비에이터,202310
131,링컨 에비에이터,202311
134,링컨 에비에이터,202312
92,링컨 에비에이터,202401
83,링컨 에비에이터,202402
108,링컨 에비에이터,202403
112,링컨 에비에이터,202404
134,링컨 에비에이터,202405
76,링컨 에비에이터,202406
