CNT,JUSO_SIDO
153,강원도
1090,경기도
759,경상남도
233,경상북도
140,광주시
201,대구시
170,대전시
362,부산시
467,서울시
38,세종시
152,울산시
414,인천시
699,전라남도
150,전라북도
247,제주도
213,충청남도
194,충청북도
