CNT,JUSO_SIDO
10,강원도
108,경기도
28,경상남도
7,경상북도
8,광주시
12,대구시
6,대전시
8,부산시
19,서울시
2,세종시
3,울산시
18,인천시
21,전라남도
7,전라북도
3,제주도
20,충청남도
10,충청북도
