CNT,JUSO_SIDO
3,강원도
48,경기도
13,경상남도
6,경상북도
4,광주시
3,대구시
5,대전시
6,부산시
23,서울시
4,세종시
1,울산시
8,인천시
7,전라남도
3,전라북도
1,제주도
7,충청남도
8,충청북도
