CNT,JUSO_SIDO
43,강원도
225,경기도
66,경상남도
36,경상북도
22,광주시
22,대구시
23,대전시
30,부산시
61,서울시
5,세종시
14,울산시
75,인천시
58,전라남도
24,전라북도
16,제주도
59,충청남도
34,충청북도
