CNT,CONVAL,EXTRACT_DE
41,벤츠 EQB,202301
189,벤츠 EQB,202302
143,벤츠 EQB,202303
135,벤츠 EQB,202304
125,벤츠 EQB,202305
292,벤츠 EQB,202306
120,벤츠 EQB,202307
151,벤츠 EQB,202308
174,벤츠 EQB,202309
120,벤츠 EQB,202310
192,벤츠 EQB,202311
383,벤츠 EQB,202312
93,벤츠 EQB,202401
125,벤츠 EQB,202402
111,벤츠 EQB,202403
70,벤츠 EQB,202404
72,벤츠 EQB,202405
109,벤츠 EQB,202406
