CNT,JUSO_SIDO
133,강원도
762,경기도
268,경상남도
211,경상북도
73,광주시
168,대구시
79,대전시
189,부산시
407,서울시
21,세종시
348,울산시
236,인천시
193,전라남도
109,전라북도
164,제주도
145,충청남도
97,충청북도
