CNT,JUSO_SIDO
152,강원도
1037,경기도
264,경상남도
158,경상북도
52,광주시
101,대구시
105,대전시
150,부산시
360,서울시
20,세종시
172,울산시
323,인천시
118,전라남도
101,전라북도
312,제주도
162,충청남도
142,충청북도
